Name,Club,X,Y
Ryan,7i,-23.2,180.3
Ryan,7i,38.4,141.7
Ryan,7i,6.3,153.6
Ryan,7i,-7.6,49.7
Ryan,7i,11.2,162.1
Ryan,7i,0.2,177.3
Ryan,7i,33.2,143.1
Ryan,7i,-12.6,171.8
Ryan,7i,32.2,153.3
Ryan,7i,-8.4,168.1
Ryan,7i,5.5,177.5
Ryan,7i,21.9,156.2
Ryan,7i,40.6,163.3
Ryan,7i,30.4,165.5
Ryan,7i,3.5,165.5
Griffin,7i,0.9,25.6
Griffin,7i,-9.4,142.5
Griffin,7i,7.1,151.8
Griffin,7i,-1.1,17.3
Griffin,7i,23.7,141.7
Griffin,7i,12.4,81.9
Griffin,7i,24.2,125.7
Griffin,7i,4.9,108.1
Griffin,7i,4.2,139.9
Griffin,7i,10.1,142.3
Griffin,7i,5.1,108.8
Griffin,7i,17.1,24.4
Griffin,7i,-11.1,137.3
Griffin,7i,-7.9,139
Ryan,7i,-4.9,178.5
Ryan,7i,7.8,157.9
Ryan,7i,-17.2,171.6
Ryan,7i,10.9,163.6
Ryan,7i,32.6,153.7
Ryan,7i,14.3,169.5
Ryan,7i,29.1,175.4
Ryan,7i,22.3,165.7
Ryan,7i,20.6,174.4
Ryan,7i,-7.6,178.5
Ryan,7i,-26.7,175.2
Ryan,7i,2.7,155.1
Ryan,7i,15.2,138.1
Ryan,7i,2.3,174.2
Ryan,7i,37.7,174.1
Ryan,7i,-16.2,111.2
Griffin,7i,25.9,125
Griffin,7i,17.1,115.8
Griffin,7i,13.8,63
Griffin,7i,-2.1,124.1
Griffin,7i,7.1,119.5
Griffin,7i,25.1,137.8
Griffin,7i,44,147.3
Griffin,7i,47.4,141.8
Griffin,7i,-9.2,144
Griffin,7i,-9.9,73
Griffin,7i,-2.6,23.6
Griffin,7i,-17.5,121.1
Griffin,7i,-1.4,128.7
Griffin,7i,-0.7,140.6
Griffin,7i,-8.4,153.9
Ryan,7i,-3.8,177.7
Ryan,7i,22.7,125.5
Ryan,7i,5.4,141.9
Ryan,7i,-1.7,158.4
Ryan,7i,1.2,52.7
Ryan,7i,2.5,150.6
Ryan,7i,-9.9,179.9
Ryan,7i,24.6,176.7
Ryan,7i,-0.7,169
Ryan,7i,7.5,139.6
Ryan,7i,23.8,160.4
Ryan,7i,6.7,173.6
Ryan,7i,-3.5,176.3
Ryan,7i,-3.9,157.8
Ryan,7i,9,131.8
Griffin,7i,4,102.1
Griffin,7i,-18.6,106.3
Griffin,7i,2.9,49.5
Griffin,7i,-19.5,74.3
Griffin,7i,-10.4,81
Griffin,7i,25.6,136.6
Griffin,7i,-11.4,113.1
Griffin,7i,-15.2,86.6
Griffin,7i,-18.7,103.1
Griffin,7i,-6.4,140.4
Griffin,7i,-5.9,22.5
Griffin,7i,-10.8,90
Griffin,7i,-2.8,26.1
Griffin,7i,14.6,140
Griffin,7i,-21,90.7
Ryan,7i,-7.5,173.9
Ryan,7i,-7.1,179
Ryan,7i,-0.1,170.4
Ryan,7i,43.1,166.5
Ryan,7i,-14.3,172
Ryan,7i,3.5,59.8
Ryan,7i,8.5,166.8
Ryan,7i,-1.9,174
Ryan,7i,-4.6,179.1
Ryan,7i,4.8,168.6
Ryan,7i,-17.8,147.6
Ryan,7i,-3.9,146.2
Ryan,7i,15.1,168.1
Ryan,7i,-3,164.9
Ryan,7i,32.9,161.3
Griffin,7i,-11.9,61.7
Griffin,7i,-5.3,37
Griffin,7i,-12.8,122.5
Griffin,7i,-12.4,63.7
Griffin,7i,-2.8,53.5
Griffin,7i,-12.9,118.5
Griffin,7i,-12.2,103.3
Griffin,7i,-8.2,46.2
Griffin,7i,-16.7,144.5
Griffin,7i,-18.7,123.6
Griffin,7i,-21.6,145.4
Griffin,7i,-11.1,85.2
Griffin,7i,4.9,77.9
Griffin,7i,-15.7,135.2
Griffin,7i,-3.8,47.9
Griffin,7i,-23.6,141.5
